seed,model,year,regime_distance,auc,baseline,delta,in_sample,n_year
1,GBM,2013,0.5644071595120497,0.7439126075899843,0.7394624778848377,0.004450129705146688,True,4660
1,GBM,2014,0.514111725454381,0.7494595274007039,0.7394624778848377,0.009997049515866219,True,4648
1,GBM,2015,0.5305153739952011,0.7146586016705354,0.7394624778848377,-0.024803876214302245,True,4623
1,GBM,2016,0.5125418104522155,0.7635891058326079,0.7394624778848377,0.024126627947770207,True,4578
1,GBM,2017,0.5241156355845082,0.7347878524795967,0.7394624778848377,-0.004674625405240995,True,4531
1,GBM,2018,0.5412063702401413,0.7428844431611864,0.7394624778848377,0.0034219652763487485,True,4507
1,GBM,2019,0.5854739111931404,0.7451032136992729,0.7394624778848377,0.005640735814435249,False,4462
1,GBM,2020,0.7614934607145762,0.7583466604532281,0.7394624778848377,0.018884182568390417,False,4435
1,GBM,2021,0.7137269823772174,0.6448379206999897,0.7394624778848377,-0.09462455718484797,False,4408
1,GBM,2022,0.6385858918751988,0.6891837220371251,0.7394624778848377,-0.050278755847712575,False,4391
1,GBM,2023,0.6321203833063416,0.7232435353464837,0.7394624778848377,-0.016218942538353986,False,4380
2,LogReg,2011,0.5632826161648795,0.7115507703561468,0.7279660656848799,-0.016415295328733093,True,4655
2,LogReg,2012,0.526377227466492,0.7368776599337973,0.7279660656848799,0.00891159424891741,True,4687
2,LogReg,2013,0.5237102534974876,0.7536448952507346,0.7279660656848799,0.025678829565854766,True,4660
2,LogReg,2014,0.49869632162131305,0.7367034284344282,0.7279660656848799,0.008737362749548283,True,4648
2,LogReg,2015,0.5291732634528944,0.7156803939234991,0.7279660656848799,-0.012285671761380734,True,4623
2,LogReg,2016,0.5050951731892168,0.7307170785952577,0.7279660656848799,0.002751012910377826,True,4578
2,LogReg,2017,0.5116138341944794,0.7316577848541468,0.7279660656848799,0.003691719169266916,True,4531
2,LogReg,2018,0.5340199589883801,0.718393650366325,0.7279660656848799,-0.009572415318554905,True,4507
2,LogReg,2019,0.55800733861218,0.7160642125948989,0.7279660656848799,-0.01190185308998093,False,4462
2,LogReg,2020,0.760847335058361,0.7468154626214062,0.7279660656848799,0.01884939693652632,False,4435
2,LogReg,2021,0.6424763155125959,0.6786785473814916,0.7279660656848799,-0.04928751830338829,False,4408
2,LogReg,2022,0.6081610994086277,0.6762363936694384,0.7279660656848799,-0.05172967201544143,False,4391
2,LogReg,2023,0.5917385914709733,0.7226575447464368,0.7279660656848799,-0.005308520938443029,False,4380
2,RF,2011,0.5575155254021733,0.7260983861381611,0.7330164575557551,-0.0069180714175939295,True,4655
2,RF,2012,0.5154092552597733,0.7439032628521246,0.7330164575557551,0.01088680529636954,True,4687
2,RF,2013,0.5401502358949167,0.7602616361740451,0.7330164575557551,0.02724517861829001,True,4660
2,RF,2014,0.4761023153533714,0.7275833133541117,0.7330164575557551,-0.005433144201643314,True,4648
2,RF,2015,0.5114618998224393,0.7106158066321498,0.7330164575557551,-0.022400650923605214,True,4623
2,RF,2016,0.47884285949159644,0.735906541832574,0.7330164575557551,0.002890084276818916,True,4578
2,RF,2017,0.5090542116048492,0.7440680882413526,0.7330164575557551,0.011051630685597558,True,4531
2,RF,2018,0.5244123034859877,0.7249004865103936,0.7330164575557551,-0.008115971045361436,True,4507
2,RF,2019,0.5698889277558988,0.7275311237204107,0.7330164575557551,-0.00548533383534433,False,4462
2,RF,2020,0.7830052767765334,0.747043422997748,0.7330164575557551,0.014026965441992889,False,4435
2,RF,2021,0.6965789582027694,0.6750933463916263,0.7330164575557551,-0.05792311116412874,False,4408
2,RF,2022,0.6404129004899679,0.6825660139392826,0.7330164575557551,-0.05045044361647244,False,4391
2,RF,2023,0.6164029102030886,0.7095391738481935,0.7330164575557551,-0.023477283707561525,False,4380
2,GBM,2011,0.5770365071306595,0.7265921455675948,0.7409794362008271,-0.014387290633232297,True,4655
2,GBM,2012,0.5406765411277472,0.7512541251648189,0.7409794362008271,0.010274688963991863,True,4687
2,GBM,2013,0.5476906859885583,0.7696499668214997,0.7409794362008271,0.028670530620672596,True,4660
2,GBM,2014,0.5076657317209892,0.7424502517381923,0.7409794362008271,0.0014708155373652776,True,4648
2,GBM,2015,0.5314467174651702,0.7309820731679771,0.7409794362008271,-0.009997363032849926,True,4623
2,GBM,2016,0.5139177198741984,0.7432997333524649,0.7409794362008271,0.00232029715163784,True,4578
2,GBM,2017,0.5286105076052563,0.7406219934519351,0.7409794362008271,-0.00035744274889193406,True,4531
2,GBM,2018,0.5610930963773069,0.7325815337576678,0.7409794362008271,-0.0083979024431593,True,4507
2,GBM,2019,0.5824040119680636,0.7265683035925967,0.7409794362008271,-0.014411132608230348,False,4462
2,GBM,2020,0.7832131840318188,0.74291768558047,0.7409794362008271,0.0019382493796429312,False,4435
2,GBM,2021,0.6903693567791842,0.6750802298026392,0.7409794362008271,-0.06589920639818792,False,4408
2,GBM,2022,0.6512401303508133,0.6950781908109914,0.7409794362008271,-0.04590124538983564,False,4391
2,GBM,2023,0.6180981150874103,0.7335295305767319,0.7409794362008271,-0.007449905624095199,False,4380
3,LogReg,2011,0.5763735649340723,0.7142277376831152,0.7365733561538655,-0.02234561847075034,True,4655
3,LogReg,2012,0.5237519530361179,0.7569852835896276,0.7365733561538655,0.020411927435762034,True,4687
