seed,model,n,tau,year,alarm_rate,n_frame
3,LogReg,200,0.6725502006917342,2021,0.6035,1342
3,LogReg,200,0.6725502006917342,2022,0.6195,1342
3,LogReg,200,0.6725502006917342,2023,0.143,1330
3,LogReg,400,0.6896790422292939,2019,0.123,1349
3,LogReg,400,0.6896790422292939,2020,0.0725,1350
3,LogReg,400,0.6896790422292939,2021,0.821,1342
3,LogReg,400,0.6896790422292939,2022,0.8295,1342
3,LogReg,400,0.6896790422292939,2023,0.1965,1330
3,LogReg,800,0.7057943138687525,2019,0.205,1349
3,LogReg,800,0.7057943138687525,2020,0.0875,1350
3,LogReg,800,0.7057943138687525,2021,0.983,1342
3,LogReg,800,0.7057943138687525,2022,0.9875,1342
3,LogReg,800,0.7057943138687525,2023,0.3745,1330
3,RF,25,0.54,2019,0.059,1349
3,RF,25,0.54,2020,0.08104052026013006,1350
3,RF,25,0.54,2021,0.16783567134268537,1342
3,RF,25,0.54,2022,0.106,1342
3,RF,25,0.54,2023,0.0845,1330
3,RF,50,0.6132998691822221,2019,0.0785,1349
3,RF,50,0.6132998691822221,2020,0.083,1350
3,RF,50,0.6132998691822221,2021,0.246,1342
3,RF,50,0.6132998691822221,2022,0.1985,1342
3,RF,50,0.6132998691822221,2023,0.134,1330
3,RF,100,0.6457015194615972,2019,0.07,1349
3,RF,100,0.6457015194615972,2020,0.059,1350
3,RF,100,0.6457015194615972,2021,0.3245,1342
3,RF,100,0.6457015194615972,2022,0.262,1342
3,RF,100,0.6457015194615972,2023,0.1395,1330
3,RF,200,0.6743978571428572,2019,0.088,1349
3,RF,200,0.6743978571428572,2020,0.054,1350
3,RF,200,0.6743978571428572,2021,0.4895,1342
3,RF,200,0.6743978571428572,2022,0.4645,1342
3,RF,200,0.6743978571428572,2023,0.2145,1330
3,RF,400,0.6949246260580215,2019,0.107,1349
3,RF,400,0.6949246260580215,2020,0.0605,1350
3,RF,400,0.6949246260580215,2021,0.748,1342
3,RF,400,0.6949246260580215,2022,0.723,1342
3,RF,400,0.6949246260580215,2023,0.356,1330
3,RF,800,0.7072936469739514,2019,0.1195,1349
3,RF,800,0.7072936469739514,2020,0.038,1350
3,RF,800,0.7072936469739514,2021,0.923,1342
3,RF,800,0.7072936469739514,2022,0.9425,1342
3,RF,800,0.7072936469739514,2023,0.5445,1330
3,GBM,25,0.5476190476190477,2019,0.065,1349
3,GBM,25,0.5476190476190477,2020,0.11705852926463231,1350
3,GBM,25,0.5476190476190477,2021,0.16382765531062124,1342
3,GBM,25,0.5476190476190477,2022,0.11,1342
3,GBM,25,0.5476190476190477,2023,0.0735,1330
3,GBM,50,0.6179255423099473,2019,0.074,1349
3,GBM,50,0.6179255423099473,2020,0.112,1350
3,GBM,50,0.6179255423099473,2021,0.2605,1342
3,GBM,50,0.6179255423099473,2022,0.1825,1342
3,GBM,50,0.6179255423099473,2023,0.103,1330
3,GBM,100,0.6580713278072459,2019,0.082,1349
3,GBM,100,0.6580713278072459,2020,0.1335,1350
3,GBM,100,0.6580713278072459,2021,0.3715,1342
3,GBM,100,0.6580713278072459,2022,0.2885,1342
3,GBM,100,0.6580713278072459,2023,0.1245,1330
3,GBM,200,0.6859128483216266,2019,0.096,1349
3,GBM,200,0.6859128483216266,2020,0.163,1350
3,GBM,200,0.6859128483216266,2021,0.569,1342
3,GBM,200,0.6859128483216266,2022,0.509,1342
3,GBM,200,0.6859128483216266,2023,0.1825,1330
3,GBM,400,0.706355186575128,2019,0.1295,1349
3,GBM,400,0.706355186575128,2020,0.2455,1350
3,GBM,400,0.706355186575128,2021,0.813,1342
3,GBM,400,0.706355186575128,2022,0.762,1342
3,GBM,400,0.706355186575128,2023,0.2925,1330
3,GBM,800,0.7201519070119954,2019,0.1875,1349
3,GBM,800,0.7201519070119954,2020,0.342,1350
3,GBM,800,0.7201519070119954,2021,0.969,1342
3,GBM,800,0.7201519070119954,2022,0.9675,1342
3,GBM,800,0.7201519070119954,2023,0.507,1330
4,LogReg,25,0.5078869047619048,2019,0.055,1330
4,LogReg,25,0.5078869047619048,2020,0.04568273092369478,1321
4,LogReg,25,0.5078869047619048,2021,0.15107553776888444,1305
4,LogReg,25,0.5078869047619048,2022,0.114,1308
4,LogReg,25,0.5078869047619048,2023,0.0535,1311
4,LogReg,50,0.5793492063492064,2019,0.077,1330
4,LogReg,50,0.5793492063492064,2020,0.041,1321
4,LogReg,50,0.5793492063492064,2021,0.249,1305
4,LogReg,50,0.5793492063492064,2022,0.166,1308
4,LogReg,50,0.5793492063492064,2023,0.07,1311
4,LogReg,100,0.6286718132046286,2019,0.099,1330
4,LogReg,100,0.6286718132046286,2020,0.041,1321
4,LogReg,100,0.6286718132046286,2021,0.4265,1305
4,LogReg,100,0.6286718132046286,2022,0.345,1308
4,LogReg,100,0.6286718132046286,2023,0.1085,1311
4,LogReg,200,0.6625964123164403,2019,0.161,1330
4,LogReg,200,0.6625964123164403,2020,0.032,1321
4,LogReg,200,0.6625964123164403,2021,0.6675,1305
4,LogReg,200,0.6625964123164403,2022,0.583,1308
4,LogReg,200,0.6625964123164403,2023,0.168,1311
4,LogReg,400,0.6825991194261646,2019,0.233,1330
4,LogReg,400,0.6825991194261646,2020,0.029,1321
4,LogReg,400,0.6825991194261646,2021,0.9065,1305
4,LogReg,400,0.6825991194261646,2022,0.8495,1308
4,LogReg,400,0.6825991194261646,2023,0.2675,1311
4,LogReg,800,0.6953602026470677,2019,0.3415,1330
4,LogReg,800,0.6953602026470677,2020,0.013,1321
4,LogReg,800,0.6953602026470677,2021,0.992,1305
4,LogReg,800,0.6953602026470677,2022,0.9845,1308
4,LogReg,800,0.6953602026470677,2023,0.376,1311
4,RF,25,0.5061688311688312,2019,0.031,1330
4,RF,25,0.5061688311688312,2020,0.04568273092369478,1321
4,RF,25,0.5061688311688312,2021,0.12056028014007003,1305
4,RF,25,0.5061688311688312,2022,0.066,1308
4,RF,25,0.5061688311688312,2023,0.0585,1311
4,RF,50,0.589720695970696,2019,0.035,1330
4,RF,50,0.589720695970696,2020,0.05,1321
4,RF,50,0.589720695970696,2021,0.1625,1305
4,RF,50,0.589720695970696,2022,0.1225,1308
4,RF,50,0.589720695970696,2023,0.101,1311
4,RF,100,0.6333998666774402,2019,0.043,1330
4,RF,100,0.6333998666774402,2020,0.037,1321
4,RF,100,0.6333998666774402,2021,0.2665,1305
4,RF,100,0.6333998666774402,2022,0.1975,1308
4,RF,100,0.6333998666774402,2023,0.146,1311
4,RF,200,0.6649541652421652,2019,0.0395,1330
4,RF,200,0.6649541652421652,2020,0.042,1321
4,RF,200,0.6649541652421652,2021,0.4155,1305
4,RF,200,0.6649541652421652,2022,0.3315,1308
4,RF,200,0.6649541652421652,2023,0.228,1311
4,RF,400,0.6824591930536721,2019,0.028,1330
4,RF,400,0.6824591930536721,2020,0.027,1321
4,RF,400,0.6824591930536721,2021,0.617,1305
4,RF,400,0.6824591930536721,2022,0.537,1308
4,RF,400,0.6824591930536721,2023,0.3285,1311
4,RF,800,0.697278937981864,2019,0.0255,1330
4,RF,800,0.697278937981864,2020,0.0145,1321
4,RF,800,0.697278937981864,2021,0.848,1305
4,RF,800,0.697278937981864,2022,0.8145,1308
