panel,cutoff,seed,model,year,elapsed,auc,baseline,delta,n,n_baseline
imbalanced,2016,1,GBM,2017,1,0.7336582406171923,0.7405496402647511,-0.006891399647558805,1350,8285
imbalanced,2016,1,GBM,2018,2,0.739211660900162,0.7405496402647511,-0.0013379793645891258,1343,8285
imbalanced,2016,1,GBM,2019,3,0.7447007015972533,0.7405496402647511,0.004151061332502204,1330,8285
imbalanced,2016,1,GBM,2020,4,0.7591957127273111,0.7405496402647511,0.018646072462560004,1322,8285
imbalanced,2016,1,GBM,2021,5,0.6467341435993473,0.7405496402647511,-0.09381549666540379,1320,8285
imbalanced,2016,1,GBM,2022,6,0.6887232270347454,0.7405496402647511,-0.0518264132300057,1314,8285
imbalanced,2016,1,GBM,2023,7,0.7199443061146921,0.7405496402647511,-0.02060533415005905,1318,8285
imbalanced,2016,2,LogReg,2017,1,0.7318128833538112,0.7308165230066221,0.0009963603471890847,1358,8378
imbalanced,2016,2,LogReg,2018,2,0.7181172240063073,0.7308165230066221,-0.012699299000314856,1350,8378
imbalanced,2016,2,LogReg,2019,3,0.7157164909618718,0.7308165230066221,-0.0151000320447503,1325,8378
imbalanced,2016,2,LogReg,2020,4,0.7459623381826723,0.7308165230066221,0.015145815176050181,1325,8378
imbalanced,2016,2,LogReg,2021,5,0.676775184579555,0.7308165230066221,-0.054041338427067154,1318,8378
imbalanced,2016,2,LogReg,2022,6,0.6748575247184613,0.7308165230066221,-0.055958998288160866,1313,8378
imbalanced,2016,2,LogReg,2023,7,0.7231702643354325,0.7308165230066221,-0.007646258671189621,1310,8378
imbalanced,2016,2,RF,2017,1,0.7387850455965355,0.732002533555628,0.006782512040907407,1358,8378
imbalanced,2016,2,RF,2018,2,0.7198118377785896,0.732002533555628,-0.012190695777038463,1350,8378
imbalanced,2016,2,RF,2019,3,0.7280105580932209,0.732002533555628,-0.003991975462407149,1325,8378
imbalanced,2016,2,RF,2020,4,0.7484180931459913,0.732002533555628,0.016415559590363227,1325,8378
imbalanced,2016,2,RF,2021,5,0.6725458133305351,0.732002533555628,-0.05945672022509296,1318,8378
imbalanced,2016,2,RF,2022,6,0.6874367626227688,0.732002533555628,-0.044565770932859294,1313,8378
imbalanced,2016,2,RF,2023,7,0.7089358220086179,0.732002533555628,-0.02306671154701012,1310,8378
imbalanced,2016,2,GBM,2017,1,0.7390697967482631,0.7427305623397462,-0.003660765591483095,1358,8378
imbalanced,2016,2,GBM,2018,2,0.7329348787569947,0.7427305623397462,-0.009795683582751513,1350,8378
imbalanced,2016,2,GBM,2019,3,0.7323333702129005,0.7427305623397462,-0.010397192126845756,1325,8378
imbalanced,2016,2,GBM,2020,4,0.7483904615852227,0.7427305623397462,0.005659899245476496,1325,8378
imbalanced,2016,2,GBM,2021,5,0.6718302305313384,0.7427305623397462,-0.07090033180840782,1318,8378
imbalanced,2016,2,GBM,2022,6,0.6965358858880057,0.7427305623397462,-0.04619467645174047,1313,8378
imbalanced,2016,2,GBM,2023,7,0.7324523015412662,0.7427305623397462,-0.010278260798480043,1310,8378
imbalanced,2016,3,LogReg,2017,1,0.7351034403273209,0.7365847653040368,-0.0014813249767159364,1382,8433
imbalanced,2016,3,LogReg,2018,2,0.7412615662812843,0.7365847653040368,0.004676800977247431,1370,8433
imbalanced,2016,3,LogReg,2019,3,0.7205507224061385,0.7365847653040368,-0.016034042897898337,1349,8433
imbalanced,2016,3,LogReg,2020,4,0.7318067593209908,0.7365847653040368,-0.0047780059830460075,1350,8433
imbalanced,2016,3,LogReg,2021,5,0.6557650500705381,0.7365847653040368,-0.08081971523349873,1342,8433
imbalanced,2016,3,LogReg,2022,6,0.6590764475956732,0.7365847653040368,-0.07750831770836364,1342,8433
imbalanced,2016,3,LogReg,2023,7,0.711296292045127,0.7365847653040368,-0.025288473258909816,1330,8433
imbalanced,2016,3,RF,2017,1,0.7382801244741544,0.7397255444735099,-0.001445419999355546,1382,8433
imbalanced,2016,3,RF,2018,2,0.7354688071100167,0.7397255444735099,-0.00425673736349319,1370,8433
